airport,iataCode,location,country
Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand
Singapore Changi Airport,SIN/WSSS,Changi,Singapore
Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China
Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China
George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States
McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States
Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States
Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States
Leonardo da Vinci Airport,FCO/LIRF,"Fiumicino, Rome",Italy
Sydney Airport,SYD/YSSY,"Sydney, New South Wales",Australia
Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States
Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States
Munich Airport,MUC/EDDM,"Munich, Bavaria",Germany
Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia
Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan
Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea
Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States
Minneapolis-Saint Paul International Airport,MSP/KMSP,"Fort Snelling, Minnesota",United States
Detroit Metropolitan Wayne County Airport,DTW/KDTW,"Detroit, Michigan",United States
Atatürk International Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey
Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada
Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States
London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex, England",United Kingdom
Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China
Philadelphia International Airport,PHL/KPHI,"Philadelphia, Pennsylvania",United States
Barcelona Airport,BCN/LEBL,"Barcelona, Catalonia",Spain
Indira Gandhi International Airport,DEL/VIDP,Delhi,India
Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India
Melbourne Airport,MEL/YMML,"Melbourne, Victoria",Australia
São Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil
Logan International Airport,BOS/KBOS,"Boston, Massachusetts",United States
Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines
Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China
Vancouver International Airport,YVR/ZGSZ,"Vancouver",Canada
LaGuardia Airport,LGA/ZGSZ,"Queens",United States
Ronald Reagan Washington National Airport,DCA/ZGSZ,"Arlington",United States
Portland International Airport,PDX/ZGSZ,"Portland",United States
Dulles International Airport,IAD/ZGSZ,"Dulles",United States
Salt Lake City International Airport,SLC/ZG,"Salt Lake City",United States
Fort Lauderdale-Hollywood International Airport,FLL/Z,"Fort Lauderdale",United States
San Diego International Airport,SAN/Z,"San Diego",United States
Raleigh–Durham International Airport,RDU/Z,"Raleigh",United States
